"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 07 04:24:07 UTC 2023","Fri Jul 07 04:24:08 UTC 2023","816","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Fri Jul 07 05:00:40 UTC 2023","Fri Jul 07 05:00:50 UTC 2023","9753","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Fri Jul 07 05:10:58 UTC 2023","Fri Jul 07 05:11:03 UTC 2023","5013","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Fri Jul 07 05:01:07 UTC 2023","Fri Jul 07 05:01:15 UTC 2023","8061","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Fri Jul 07 04:30:37 UTC 2023","Fri Jul 07 04:30:39 UTC 2023","1995","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"passed","Fri Jul 07 05:03:26 UTC 2023","Fri Jul 07 05:03:29 UTC 2023","3034","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Fri Jul 07 04:52:43 UTC 2023","Fri Jul 07 04:53:11 UTC 2023","28359","","22. Individual Onboarding for Interactive Brokers","","","","5. Complete Risk Profile",""
"passed","Fri Jul 07 04:30:49 UTC 2023","Fri Jul 07 04:31:12 UTC 2023","22959","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"passed","Fri Jul 07 04:15:02 UTC 2023","Fri Jul 07 04:15:02 UTC 2023","643","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Fri Jul 07 04:13:37 UTC 2023","Fri Jul 07 04:13:41 UTC 2023","3660","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Fri Jul 07 05:00:34 UTC 2023","Fri Jul 07 05:00:38 UTC 2023","3623","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Fri Jul 07 05:03:34 UTC 2023","Fri Jul 07 05:03:37 UTC 2023","2813","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Fri Jul 07 04:55:22 UTC 2023","Fri Jul 07 04:55:24 UTC 2023","1518","","22. Individual Onboarding for Interactive Brokers","","","","12. Check Final Review",""
"passed","Fri Jul 07 04:55:07 UTC 2023","Fri Jul 07 04:55:13 UTC 2023","6783","","22. Individual Onboarding for Interactive Brokers","","","","10. Complete Bank Details",""
"passed","Fri Jul 07 04:18:58 UTC 2023","Fri Jul 07 04:19:30 UTC 2023","31403","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"passed","Fri Jul 07 05:11:03 UTC 2023","Fri Jul 07 05:11:03 UTC 2023","257","","20. Admin Portal - Check details","","","","3. Check panels existence",""
"passed","Fri Jul 07 04:19:46 UTC 2023","Fri Jul 07 04:19:47 UTC 2023","1140","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"passed","Fri Jul 07 05:02:59 UTC 2023","Fri Jul 07 05:03:01 UTC 2023","2252","","6. Company Account","","","","8. Navigate from Applicants to Final Review",""
"passed","Fri Jul 07 04:23:58 UTC 2023","Fri Jul 07 04:24:07 UTC 2023","9205","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","9. Complete Insurance Quote",""
"passed","Fri Jul 07 05:01:36 UTC 2023","Fri Jul 07 05:01:47 UTC 2023","10244","","6. Company Account","","","","2. Create a Company Account",""
"passed","Fri Jul 07 04:18:46 UTC 2023","Fri Jul 07 04:18:47 UTC 2023","763","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"passed","Fri Jul 07 05:07:54 UTC 2023","Fri Jul 07 05:08:38 UTC 2023","44439","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Fri Jul 07 05:03:29 UTC 2023","Fri Jul 07 05:03:34 UTC 2023","4496","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","9. Complete Bank Details",""
"passed","Fri Jul 07 04:20:50 UTC 2023","Fri Jul 07 04:21:11 UTC 2023","20142","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Fri Jul 07 04:30:39 UTC 2023","Fri Jul 07 04:30:40 UTC 2023","1285","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Fri Jul 07 04:59:44 UTC 2023","Fri Jul 07 05:00:04 UTC 2023","19724","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Fri Jul 07 04:19:34 UTC 2023","Fri Jul 07 04:19:46 UTC 2023","11592","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Fri Jul 07 05:01:51 UTC 2023","Fri Jul 07 05:02:12 UTC 2023","21176","","6. Company Account","","","","4. Complete Build Your Portfolio",""
"passed","Fri Jul 07 04:14:30 UTC 2023","Fri Jul 07 04:14:34 UTC 2023","3730","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Fri Jul 07 05:00:27 UTC 2023","Fri Jul 07 05:00:34 UTC 2023","7552","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","2. Create a SMSF Account",""
"passed","Fri Jul 07 04:23:58 UTC 2023","Fri Jul 07 04:23:58 UTC 2023","188","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","8. Navigate to Insurance Quote",""
"passed","Fri Jul 07 05:04:39 UTC 2023","Fri Jul 07 05:04:41 UTC 2023","2366","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","13. Review Final Review",""
"passed","Fri Jul 07 05:11:03 UTC 2023","Fri Jul 07 05:11:05 UTC 2023","1390","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Fri Jul 07 04:14:02 UTC 2023","Fri Jul 07 04:14:09 UTC 2023","6870","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Fri Jul 07 04:26:43 UTC 2023","Fri Jul 07 04:26:45 UTC 2023","1679","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Fri Jul 07 05:05:13 UTC 2023","Fri Jul 07 05:05:29 UTC 2023","15971","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Fri Jul 07 05:11:13 UTC 2023","Fri Jul 07 05:11:14 UTC 2023","995","","20. Admin Portal - Check details","","","","6. Check Account Settings & History (Data Snapshots)",""
"passed","Fri Jul 07 05:14:06 UTC 2023","Fri Jul 07 05:14:33 UTC 2023","27034","","21. Forgot password function","","","","2. Reset password",""
"passed","Fri Jul 07 05:10:55 UTC 2023","Fri Jul 07 05:10:58 UTC 2023","2675","","12. Client Portal - Forms","","","","2. Check Form Page",""
"passed","Fri Jul 07 04:12:52 UTC 2023","Fri Jul 07 04:13:12 UTC 2023","20460","","9. Client Portal - Home","","","","1. Check links",""
"passed","Fri Jul 07 04:52:38 UTC 2023","Fri Jul 07 04:52:43 UTC 2023","4581","","22. Individual Onboarding for Interactive Brokers","","","","4. Navigate to Risk Profile page",""
"passed","Fri Jul 07 04:14:57 UTC 2023","Fri Jul 07 04:15:02 UTC 2023","4388","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Fri Jul 07 04:26:45 UTC 2023","Fri Jul 07 04:27:22 UTC 2023","37542","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"passed","Fri Jul 07 05:05:41 UTC 2023","Fri Jul 07 05:05:46 UTC 2023","4276","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Fri Jul 07 04:23:54 UTC 2023","Fri Jul 07 04:23:58 UTC 2023","3958","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","7. Review Review Page",""
"passed","Fri Jul 07 04:30:22 UTC 2023","Fri Jul 07 04:30:36 UTC 2023","14316","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"passed","Fri Jul 07 04:13:41 UTC 2023","Fri Jul 07 04:14:02 UTC 2023","20886","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"passed","Fri Jul 07 04:21:32 UTC 2023","Fri Jul 07 04:21:54 UTC 2023","21839","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Fri Jul 07 05:13:59 UTC 2023","Fri Jul 07 05:14:06 UTC 2023","6966","","21. Forgot password function","","","","1. Direct to forgot password page",""
"passed","Fri Jul 07 05:10:57 UTC 2023","Fri Jul 07 05:11:03 UTC 2023","5661","","20. Admin Portal - Check details","","","","2. Account ID 445 detail page",""
"passed","Fri Jul 07 04:56:00 UTC 2023","Fri Jul 07 04:56:59 UTC 2023","58837","","22. Individual Onboarding for Interactive Brokers","","","","14. Complete Final Review",""
"passed","Fri Jul 07 04:18:25 UTC 2023","Fri Jul 07 04:18:45 UTC 2023","20651","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Fri Jul 07 04:21:07 UTC 2023","Fri Jul 07 04:25:29 UTC 2023","262416","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Fri Jul 07 04:52:38 UTC 2023","Fri Jul 07 04:52:38 UTC 2023","22","","22. Individual Onboarding for Interactive Brokers","","","","3. Check SideNav",""
"passed","Fri Jul 07 04:22:03 UTC 2023","Fri Jul 07 04:22:12 UTC 2023","8546","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","6. Complete Super Fund Entry",""
